;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
0;23591690;Ford;Focus;1.6 TDCi Trend X;2015;150.500 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;5 boyalı;740.000
1;23801334;Ford;Fiesta;1.4 TDCi Titanium X;2011;183.665 km;Düz;Dizel;Hatchback/5;Bordo;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;3 değişen, 1 boyalı;449.900
2;23452093;Ford;Fiesta;1.25 Trend X;2016;131.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1242 cc;82 hp;Önden Çekiş;5,2 lt;42 lt;2 değişen;620.000
3;23801056;Ford;Focus;1.6 TDCi Trend X;2013;130.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;690.000
4;23800643;Ford;C-Max;1.6 TDCi Titanium;2013;122.000 km;Düz;Dizel;MPV;Gri (metalik);1560 cc;115 hp;Önden Çekiş;4,6 lt;53 lt;1 boyalı;760.000
5;23801275;Ford;Fiesta;1.6 Ti-VCT Titanium;2017;63.000 km;Yarı Otomatik;LPG & Benzin;Hatchback/5;Gri;1596 cc;105 hp;Önden Çekiş;5,9 lt;42 lt;Tamamı orjinal;835.000
6;23801271;Ford;Focus;1.6 TDCi Trend X;2014;192.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;1 boyalı;750.000
7;23801320;Ford;Focus;1.6 TDCi Trend X;2015;285.000 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;2 değişen, 3 boyalı;595.000
10;23801054;Ford;Focus;1.6 TDCi Titanium;2011;164.000 km;Düz;Dizel;Hatchback/5;Mavi;1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;815.000
11;23799782;Ford;Fiesta;1.5 TDCi Trend X;2016;204.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Tamamı orjinal;630.000
12;23801207;Ford;Fiesta;1.4 TDCi Titanium X;2010;173.000 km;Düz;Dizel;Hatchback/5;Gri (titanyum);1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;5 boyalı;495.000
13;23799281;Ford;Mondeo;1.6 TDCi Titanium;2011;227.400 km;Düz;Dizel;Sedan;Gri (titanyum);1560 cc;115 hp;Önden Çekiş;4,9 lt;70 lt;1 değişen, 2 boyalı;650.000
14;23800821;Ford;Focus;1.6 TDCi Collection;2011;115.000 km;Düz;Dizel;Hatchback/5;Füme;1560 cc;110 hp;Önden Çekiş;4,8 lt;55 lt;Tamamı orjinal;720.000
16;23800847;Ford;Fiesta;1.4 TDCi Trend;2011;195.000 km;Düz;Dizel;Hatchback/5;Gri;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;490.000
18;23800100;Ford;Focus;1.6 TDCi Titanium X;2012;149.750 km;Düz;Dizel;Hatchback/5;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;1 boyalı;730.000
19;23800900;Ford;Focus;1.6 TDCi Titanium;2010;450.000 km;Düz;Dizel;Sedan;Siyah;1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;1 değişen, 8 boyalı;429.900
20;23800344;Ford;Focus;1.5 TDCi Trend X;2020;106.000 km;Otomatik;Dizel;Sedan;Mavi;1500 cc;120 hp;Önden Çekiş;4,3 lt;47 lt;2 boyalı;965.000
21;23800634;Ford;Fiesta;1.0 GTDi Titanium;2014;86.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;100 hp;Önden Çekiş;4,9 lt;42 lt;1 değişen;665.000
22;23799860;Ford;Focus;1.6 TDCi Style;2013;118.000 km;Düz;Dizel;Hatchback/5;Beyaz;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;805.000
23;23799690;Ford;Focus;1.6 TDCi Collection;2011;173.000 km;Düz;Dizel;Hatchback/5;Gri;1560 cc;110 hp;Önden Çekiş;4,8 lt;55 lt;Tamamı orjinal;680.000
24;23799460;Ford;Fiesta;1.25 Trend;2014;143.000 km;Düz;Benzin;Hatchback/5;Beyaz;1242 cc;82 hp;Önden Çekiş;5,2 lt;42 lt;1 değişen, 5 boyalı;511.000
25;23800320;Ford;Fiesta;1.4 My Fiesta;2012;119.000 km;Otomatik;LPG & Benzin;Hatchback/5;Bordo;1388 cc;96 hp;Önden Çekiş;6,5 lt;42 lt;Belirtilmemiş;599.000
26;23800130;Ford;Focus;1.5 Ti-VCT Titanium;2019;43.000 km;Otomatik;Benzin;Hatchback/5;Mavi;1497 cc;123 hp;Önden Çekiş;6,5 lt;52 lt;2 değişen;965.000
27;23799923;Ford;Focus;1.6 TDCi Trend;2013;200.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;4 boyalı;680.000
28;23799829;Ford;Fiesta;1.4 Titanium;2010;46.000 km;Düz;LPG & Benzin;Hatchback/5;Bordo;1388 cc;96 hp;Önden Çekiş;5,7 lt;42 lt;Belirtilmemiş;570.000
29;23767614;Ford;Focus;1.6 TDCi Titanium;2014;41.000 km;Düz;Dizel;Station wagon;Beyaz;1560 cc;115 hp;Önden Çekiş;5,3 lt;53 lt;Belirtilmemiş;529.950
30;23799103;Ford;C-Max;1.6 TDCi Titanium X;2012;120.000 km;Düz;Dizel;MPV;Siyah;1560 cc;115 hp;Önden Çekiş;4,6 lt;53 lt;Belirtilmemiş;780.000
31;23799032;Ford;Focus;1.6 TDCi Titanium;2012;101.500 km;Düz;Dizel;Sedan;Gri;1560 cc;115 hp;Önden Çekiş;4,2 lt;53 lt;1 değişen;780.000
32;23681068;Ford;Fiesta;1.4 TDCi Trend;2012;110.905 km;Düz;Dizel;Hatchback/5;Beyaz;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 boyalı;589.900
33;23455042;Ford;Focus;1.6 TDCi Titanium;2010;165.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;620.000
