;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
0;23801316;Toyota;Yaris;1.0 Life;2013;24.800 km;Düz;Benzin;Hatchback/5;Beyaz;998 cc;69 hp;Önden Çekiş;4,8 lt;42 lt;2 boyalı;459.000
1;23447333;Toyota;Yaris;1.0 Vision;2021;28.700 km;Düz;Benzin;Hatchback/5;Gri (Gümüş);998 cc;72 hp;Önden Çekiş;4,5 lt;42 lt;Tamamı orjinal;705.000
2;23801101;Toyota;Corolla;1.33 Life;2016;192.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;720.000
3;23801573;Toyota;Corolla;1.4 D-4D Advance;2016;58.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;2 değişen, 3 boyalı;880.000
4;23801731;Toyota;Corolla;1.4 D-4D Touch;2017;166.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Belirtilmemiş;783.500
6;23801405;Toyota;Auris;1.4 D-4D Comfort Plus;2011;215.000 km;Düz;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;5 lt;55 lt;Belirtilmemiş;630.000
7;23800566;Toyota;Corolla;1.6 Elegant;2011;166.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1598 cc;124 hp;Önden Çekiş;7 lt;55 lt;3 boyalı;675.000
8;23800793;Toyota;Corolla;1.4 D-4D Comfort;2012;190.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1364 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;2 boyalı;595.000
9;23800456;Toyota;Corolla;1.6 Vision;2019;81.400 km;Yarı Otomatik;LPG & Benzin;Sedan;Gri (metalik);1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;Tamamı orjinal;855.000
10;23799141;Toyota;Corolla;1.5 Dream;2022;17.000 km;Otomatik;Benzin;Sedan;Beyaz;1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;Belirtilmemiş;1.010.000
11;23799199;Toyota;Corolla;1.6 Flame;2019;38.400 km;Otomatik;Benzin;Sedan;Gri (Gümüş);1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;2 boyalı;990.000
12;23800380;Toyota;Avensis;1.6 Elegant;2010;155.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,5 lt;60 lt;Belirtilmemiş;685.000
13;23800301;Toyota;Corolla;1.33 Life;2017;48.000 km;Düz;Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;750.000
14;23799673;Toyota;Corolla;1.33 Life;2014;77.500 km;Düz;Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;735.000
15;23799644;Toyota;Auris;1.4 D-4D Comfort Extra;2012;203.500 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1364 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;1 değişen, 4 boyalı;540.000
16;23798755;Toyota;Auris;1.4 D-4D Advance Skypack;2015;153.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1364 cc;90 hp;Önden Çekiş;4 lt;50 lt;1 boyalı;825.000
17;23798825;Toyota;Corolla;1.33 Life;2017;63.750 km;Düz;Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;735.000
18;23800585;Toyota;Corolla;1.4 D-4D Touch;2016;112.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;1 değişen, 2 boyalı;750.000
19;23799506;Toyota;Avensis;1.6 Elegant;2010;195.000 km;Düz;LPG & Benzin;Sedan;Gri (metalik);1598 cc;132 hp;Önden Çekiş;6,5 lt;60 lt;Belirtilmemiş;650.000
20;23798811;Toyota;Corolla;1.5 Dream;2022;9.500 km;Otomatik;Benzin;Sedan;Beyaz;1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;Tamamı orjinal;1.090.000
21;21913772;Toyota;Corolla;1.6 Advance;2015;146.000 km;Düz;Benzin;Sedan;Kahverengi;1598 cc;132 hp;Önden Çekiş;6,3 lt;55 lt;Belirtilmemiş;890.000
22;23734334;Toyota;Corolla;1.33 Life;2015;99.222 km;Düz;LPG & Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;695.000
24;23798926;Toyota;Corolla;1.6 Comfort;2010;210.000 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1598 cc;124 hp;Önden Çekiş;7,2 lt;55 lt;Belirtilmemiş;658.000
25;23590539;Toyota;Corolla;1.5 Dream;2022;30.000 km;Otomatik;Benzin;Sedan;Mavi;1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;Tamamı orjinal;1.000.000
26;23798955;Toyota;Auris;1.4 D-4D Comfort Extra;2012;104.000 km;Düz;Dizel;Hatchback/5;Gri;1364 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;2 değişen;600.000
27;23798651;Toyota;Corolla;1.4 D-4D Advance;2015;148.000 km;Düz;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;1 boyalı;905.000
28;23162719;Toyota;Auris;1.4 D-4D Comfort Plus;2012;163.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1364 cc;90 hp;Önden Çekiş;5 lt;55 lt;Belirtilmemiş;538.500
29;23798760;Toyota;Corolla;1.6 Flame X Pack;2020;53.000 km;Otomatik;Benzin;Sedan;Füme;1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;Belirtilmemiş;1.059.900
30;23739277;Toyota;Corolla;1.33 Life;2015;78.000 km;Düz;Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Belirtilmemiş;722.000
31;23798689;Toyota;Corolla;1.5 Flame X-Pack;2022;14.000 km;Otomatik;Benzin;Sedan;Gri (Gümüş);1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;Belirtilmemiş;1.169.900
32;23798672;Toyota;Corolla;1.4 D-4D Comfort;2011;270.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1365 cc;90 hp;Önden Çekiş;4,9 lt;55 lt;Belirtilmemiş;624.900
33;23798365;Toyota;Corolla;1.6 Comfort;2010;201.000 km;Düz;LPG & Benzin;Sedan;Füme;1598 cc;124 hp;Önden Çekiş;7,2 lt;55 lt;Tamamı orjinal;625.000
34;23798183;Toyota;Auris;1.4 D-4D Advance Skypack;2013;161.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4,2 lt;50 lt;Tamamı orjinal;775.000
35;23798130;Toyota;Verso;1.6 D-4D Elegant;2014;219.500 km;Düz;Dizel;MPV;Beyaz;1598 cc;112 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;810.000
36;23797375;Toyota;Corolla;1.2 Turbo Flame X-Pack;2020;30.770 km;Otomatik;Benzin;Hatchback/5;Mavi (metalik);1197 cc;116 hp;Önden Çekiş;5,8 lt;50 lt;Belirtilmemiş;1.090.000
40;23797601;Toyota;Corolla;1.6 Advance;2015;136.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,3 lt;55 lt;Tamamı orjinal;800.000
41;23796972;Toyota;Auris;1.33 Comfort;2010;128.000 km;Düz;Benzin;Hatchback/5;Füme;1329 cc;99 hp;Önden Çekiş;6 lt;55 lt;Belirtilmemiş;550.000
42;23796127;Toyota;Corolla;1.6 Vision;2020;85.000 km;Yarı Otomatik;Benzin;Sedan;Mavi (metalik);1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;4 boyalı;925.000
44;22363184;Toyota;Corolla;1.4 D-4D Touch;2017;210.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Belirtilmemiş;748.500
45;23796210;Toyota;Corolla;1.6 Dream;2020;12.000 km;Otomatik;Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;Tamamı orjinal;1.125.000
46;23796639;Toyota;Auris;1.4 D-4D Advance;2013;149.336 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4,2 lt;50 lt;1 değişen, 2 boyalı;660.000
47;23796478;Toyota;Corolla;1.6 Comfort;2011;131.000 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1598 cc;124 hp;Önden Çekiş;7 lt;55 lt;Belirtilmemiş;715.000
48;23446277;Toyota;Corolla;1.4 D-4D Comfort;2011;157.000 km;Düz;Dizel;Sedan;Gri (Gümüş);1364 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;Tamamı orjinal;665.000
50;23795357;Toyota;Corolla;1.6 Vision;2019;61.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;2 boyalı;839.000
51;23794949;Toyota;Corolla;1.4 D-4D Advance;2014;153.800 km;Düz;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;1 boyalı;670.000
52;23790793;Toyota;Auris;1.4 D-4D Advance Skypack;2014;190.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4,2 lt;50 lt;7 boyalı;635.000
53;23794843;Toyota;Auris;1.6 Comfort Extra;2010;86.000 km;Otomatik;LPG & Benzin;Hatchback/5;Gri (Gümüş);1598 cc;124 hp;Önden Çekiş;7,1 lt;55 lt;1 boyalı;695.000
54;23794980;Toyota;Corolla;1.4 D-4D Advance;2015;87.500 km;Yarı Otomatik;Dizel;Sedan;Gri (Gümüş);1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Tamamı orjinal;780.000
55;23794855;Toyota;Corolla;1.5 Dream;2021;64.270 km;Otomatik;Benzin;Sedan;Beyaz;1490 cc;125 hp;Önden Çekiş;5,8 lt;50 lt;2 boyalı;865.000
56;23794685;Toyota;Auris;1.4 D-4D Class;2010;137.000 km;Düz;Dizel;Hatchback/5;Füme;1364 cc;90 hp;Önden Çekiş;5 lt;55 lt;Tamamı orjinal;649.000
57;23445658;Toyota;Corolla;1.6 Flame X Pack;2020;23.500 km;Otomatik;Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;5,5 lt;50 lt;Tamamı orjinal;1.260.000
